x1,y1,x2,y2
640.7159956,7409.3809,605.0279951,7257.205026
1061.987553,10213.47437,989.275578,9839.268681
1416.620173,13842.94135,1530.830259,13428.82226
2052.604089,18445.97328,2219.79704,18572.02234
2753.071546,26068.31592,3914.979414,24969.89274
6877.326836,34643.53739,6896.150175,33694.52203
10618.65165,45607.68209,10460.95993,45189.16438
13219.89816,61740.8632,14820.64662,62897.69362
21504.28427,79508.29898,23872.6667,80373.16546
34912.50259,103442.1759,39557.81895,106514.5984
44955.19558,132063.7473,63317.76748,134433.1173
65984.95585,178699.8747,91681.49299,161451.2634
108765.1279,230175.9541,134538.4575,187885.2748
158524.2364,273409.5323,190094.744,211135.9263
231540.3764,338969.3274,264683.7233,219736.1011
332047.5732,377417.3004,328639.696,205901.3335
453364.6461,387704.8879,381398.2665,173251.6782
568177.9246,362695.0226,417459.8137,141462.9679
674587.3101,319168.016,445592.2064,107634.6975
750772.274,258593.5688,462551.8202,83046.71182
798470.0271,197708.4286,466181.4549,62052.75106
803967.7558,138310.6131,472781.7057,43791.14253
843125.1713,120695.3545,478528.3515,32741.88423
847788.4464,87355.93323,485418.5334,19476.28304
870722.9032,47244.80302,483744.5653,13013.09875
858447.3935,53688.23022,480935.5018,15331.90088
906960.5275,91720.81628,491832.3857,-2321.975407
835411.721,-12008.86081,474738.3415,520.4508619
925398.5359,7924.948453,487345.8336,-5355.56758
836640.0774,113135.9589,484191.6263,25449.28579
810890.6849,-69583.44868,454374.2346,-1676.358544
864118.1384,-7562.321252,476417.2064,-3987.848106
801195.0238,-19272.11743,462111.8897,-9598.947981
898552.1833,-13787.54564,470967.272,-2576.224869
919801.8599,-35070.99103,481128.9975,-2696.031046
865950.9642,2146.820462,474712.3984,-4309.679659
861955.3973,-13844.54698,474734.5204,-3810.126687
879721.2223,-13473.74124,472144.8561,2489.715488
855854.6319,-38932.10817,456648.6697,-13855.1029
857465.1939,-9062.736141,474442.9629,-5876.836866
886752.0019,19774.29834,478708.817,-1265.618958
885442.9408,-27701.79546,493800.4284,3846.67249
860969.3102,-9258.178199,456603.2831,-19549.57408
