Z' (Ohms),-Z (Ohms),Z' (Ohms).1,-Z (Ohms).1,Z' (Ohms).2,-Z (Ohms).2,Z' (Ohms).3,-Z (Ohms).3,Z' (Ohms).4,-Z (Ohms).4,Z' (Ohms).5,-Z (Ohms).5,Z' (Ohms).6,-Z (Ohms).6,Z' (Ohms).7,-Z (Ohms).7,Z' (Ohms).8,-Z (Ohms).8,Z' (Ohms).9,-Z (Ohms).9,Z' (Ohms).10,-Z (Ohms).10
1530.37703,7621.78125,1641.311231,7423.426446,1475.741634,7507.437106,1497.876114,7769.443539,1445.980567,7718.247651,1475.839669,7895.234201,1258.832913,8120.843901,1358.203456,8000.098194,1308.794583,8103.138961,1548.81844,8160.408094,1384.188186,8256.188657
2605.962292,9941.175993,2357.669182,10004.88225,2366.731759,10151.51003,2438.394622,10183.35608,2171.189326,10461.95477,2423.523209,10674.89414,2354.922814,10857.3788,2095.186115,11354.83218,2188.039491,11643.74106,2260.580204,11064.83108,1948.660939,11276.46247
3775.199031,13098.84556,4021.735253,13559.42778,4054.34774,13375.66133,3312.045278,13857.08276,4139.662824,14204.28929,3318.666259,14299.42168,3618.789177,14957.78308,3631.140976,14843.12122,3540.555324,15666.6916,3762.183236,15773.68259,3967.011671,15322.16556
5635.009349,16847.41313,5814.483724,16568.57501,6857.00786,17931.92565,5811.954767,16982.91233,6318.238388,17893.06583,5275.520623,19363.98426,6308.707538,20708.81482,6388.800971,18884.75403,6035.420395,21018.20894,6661.453156,20222.29144,5725.275043,20192.80409
10055.03776,21296.41683,8099.520423,21323.88936,8149.06144,21524.48224,8150.948345,23287.9755,10058.12514,25741.4544,8633.790829,24864.58458,11221.77341,26205.59594,9987.790525,26008.73951,11076.271,28683.31632,8277.944261,27216.83933,10437.18291,24328.91096
13363.19504,24501.08334,12860.54069,26270.02295,13215.54607,27139.07572,17678.03533,28140.75102,12478.50768,28355.4774,16779.13937,30390.1514,17875.59481,31755.55535,15706.08617,34451.57001,16775.44991,34188.75734,19046.21015,34559.7461,17827.36996,33659.01689
17302.36514,31414.03298,19611.86846,35664.8564,21055.22968,33310.58459,24772.03539,32403.40056,23722.36714,30786.92694,20657.98637,35216.53883,25752.70577,38807.03953,25669.38576,38342.7955,22104.3618,37435.79279,28082.5654,35519.78561,32507.45388,46230.65507
20744.5645,37115.49615,28116.43934,39137.28556,27085.17045,37381.42196,35552.36565,40649.45161,36235.67704,48636.35861,34516.89639,40150.57121,34619.55588,47496.30042,44632.00554,35795.8889,43931.15884,53939.586,50035.31618,37436.86756,38097.97251,39634.54972
29595.79673,53577.89221,38551.27077,42338.38222,45593.87021,44650.53765,41807.64755,43101.76358,40786.63081,46045.62188,42989.95135,35480.87334,57647.93757,34388.18815,59550.53604,36280.14731,45432.65922,37728.95943,71100.37128,40898.19059,49642.25247,42986.31944
40115.49217,59083.90398,51583.49302,49689.53471,59579.79381,42376.41068,47071.27969,37996.58831,69454.11342,54892.3342,69316.91373,33481.53618,62391.42898,44456.68402,76008.68657,30585.22234,62621.15195,40420.24076,77122.14369,36025.67599,57548.07895,42642.86449
39079.40777,66619.56355,57320.81462,41307.26319,62404.72514,40360.73362,62676.27719,32055.49158,62898.43137,31452.91218,73383.70698,31490.97641,71697.93259,22122.1376,97824.0389,11968.88743,72273.99954,24927.91702,94196.64359,25686.90685,66183.84137,23620.27018
46946.77565,88240.16736,56390.04751,69600.09078,77529.40403,50702.81644,90060.89592,25004.72741,71518.75138,36219.51405,99826.23708,12815.51446,99756.89349,32690.59902,99762.26759,9086.917675,91203.06354,19332.16476,94849.39912,11075.10004,75505.83285,19934.23807
49442.4728,84365.4628,101630.9798,43363.89628,106691.3354,56708.46951,88319.90244,30286.08419,78855.44499,29787.22736,100396.2174,10066.80994,100003.9803,29260.99336,100785.5394,5902.422575,94401.86452,12008.50424,103112.1685,5634.413246,78580.00584,24892.63271
150622.1414,137576.3126,128308.5888,56029.25372,84761.73532,63686.031,102263.002,19617.88147,70036.84304,35433.33157,101198.3742,7732.372356,98213.22237,13779.21809,100738.6772,3884.98248,96391.29858,11742.27651,103203.7979,6265.483693,73855.38663,27320.44208
186471.5129,136852.9331,133700.3804,60408.94867,113218.0383,31488.33626,105377.7665,14689.95167,96527.94014,15933.27788,100356.6158,4779.995625,100699.2977,9192.416975,99977.66365,3005.892178,97502.65007,9408.015175,102753.1812,4433.888298,97333.37181,9731.45165
226787.2539,126858.9997,151113.1848,52863.92904,118430.3022,23691.97647,107360.8367,11152.27505,101389.1107,11317.45667,101550.6761,3460.370511,100286.2603,5791.83226,100725.6447,1522.172275,97754.95733,6679.738961,100001.9768,4817.808135,99552.72086,6008.29896
258520.1084,107797.8557,160627.633,40391.04372,121128.0792,19351.70407,106702.2184,7592.445522,102781.9885,9322.578288,101542.0526,1820.580985,100304.398,4510.028413,102951.7149,-1396.263346,97430.45646,4231.238386,103912.9475,5894.27154,95682.27753,6682.696055
281821.02,86958.94334,162673.8957,33557.0889,124870.9648,12252.68546,106226.5471,5977.277138,103059.1184,7256.846566,102423.4745,3246.526444,101590.1515,3070.065755,101370.4019,2024.430308,101656.1438,2816.269146,99517.98174,-1978.638773,96168.27969,4196.104841
296713.4906,67877.86097,169538.5532,24435.62033,124545.7128,9489.436504,107405.9017,4362.629999,102141.644,5074.390823,103389.3204,1039.050318,99882.79192,2234.096131,,,100306.7551,1024.512796,103575.8229,524.9850607,97607.81515,2459.573657
303656.7473,52650.3487,173990.0177,14123.78214,125293.5132,6750.61143,109772.9388,3516.458385,104639.2312,3949.539732,102737.2805,4945.166169,98093.60988,831.1998579,,,99264.75543,-458.2200102,,,99513.87264,5143.308451
311648.9539,39233.69424,168569.2945,7288.588152,128067.4315,8596.48971,108939.7823,1069.167008,105491.4454,3656.655553,99938.03197,945.5064579,102121.3795,1496.969419,,,102421.9891,433.4716369,,,94619.70886,2453.158552
312662.6409,27909.73084,177528.1845,11000.48172,124973.8756,4095.704739,116452.3551,1259.799271,102595.9641,396.9725822,102447.3982,-4166.886634,103950.8822,-6147.803953,,,100059.5559,-7432.401088,,,97823.23401,4071.025078
318080.0671,20102.01894,177049.9223,12633.13451,120175.3546,-5625.65979,108291.0027,4143.29917,102312.7862,-6285.502099,102735.3896,-250.4854067,,,,,,,,,101076.4797,-3577.201515
313017.1769,16823.29127,164374.9894,13273.84598,123576.7403,89.59079591,110842.0127,-774.672212,105660.6663,-1236.628331,,,,,,,,,,,95834.01757,-8166.883873
312286.661,15780.848,175178.7757,10966.77494,120149.6447,493.6163999,107961.6043,-649.0644317,99443.97245,5043.952705,,,,,,,,,,,,
297705.8438,4320.055468,189253.6846,-3092.363068,126989.5719,2964.99977,,,103825.7913,1677.25919,,,,,,,,,,,,
315233.5905,-4726.917751,173815.3645,-5879.281766,130670.0047,-5006.017101,,,,,,,,,,,,,,,,
321655.9487,6874.663081,,,,,,,,,,,,,,,,,,,,
297045.507,18134.79613,,,,,,,,,,,,,,,,,,,,
307454.9682,-15604.01256,,,,,,,,,,,,,,,,,,,,
312005.9912,-547.1560191,,,,,,,,,,,,,,,,,,,,
304369.4039,8811.357835,,,,,,,,,,,,,,,,,,,,
314089.6752,-6719.750114,,,,,,,,,,,,,,,,,,,,
